,ID,tweet
0,1338177179029561344,"RT @baalbuddy: Patreon poll result: Interspecies Basketball League

We sports manga now.
I just need to have a lot of attractive boys playi…"
1,1338177178723299329,"RT @Dior: In the film accompanying her @BazaarKorea editorial, @YGOfficialBlink singer and actress Jisoo sports emblematic #DiorCruise 2021…"
2,1338177177586704388,"RT @NFL: The @MiamiDolphins bring out the throwbacks today 🔥 #FinsUp

📺: #KCvsMIA | 1pm ET on CBS
📱: NFL app // Yahoo Sports app https://t.…"
3,1338177175850192901,"RT @sntcor: BETFRED Get £30 In Free Bets When You Bet £10 + 60 Free Spins
New UK &amp; NI customers only. 18+. Sign up using promo code ‘SPORTS…"
4,1338177174633844741,TwinSportsTV: Episode 149 Sports Meet Music (Live Podcast) What's Your W... https://t.co/dlY9St9P7K via @YouTube
5,1338177170930245632,@jamienolastname Plenty of guys would love a partner who loves sports.
6,1338177170208944130,@HiveCards @hobyn_ @HobbyConnector @Hobby_Connect @OnReplin @sports_sell Take a1 and b1
7,1338177170179502083,RT @curtiswoodhous8: Micah Richards and Roy Keane are such a great unlikely double act! Whatever the X factor is them two have it when they…
8,1338177166631198721,@ATL_boomer1990 @Brett_McMurphy Coastal in the ACC.... it’s gonna be a one year wonder and they have no other sports that are worth a damn
9,1338177164265578496,RT @HoustonChron: Texas college football rankings: A good week for Texas A&amp;M but not Texas https://t.co/vnacgSUSog
10,1338177160125833223,"RT @UNIAthletics: Panther Sports Talk breaks down the guard shuffle on the men's basketball team.

Watch more on UNI Athletics here: https:…"
11,1338177155734392832,"RT @Dior: In the film accompanying her @BazaarKorea editorial, @YGOfficialBlink singer and actress Jisoo sports emblematic #DiorCruise 2021…"
12,1338177153368797186,"@LisaBritton @RyanAFournier I would make the sports categories as follows:

(A) People with XX chromosomes and havi… https://t.co/AN9zBh81yS"
13,1338177152378925057,@tettsui77 Conflicts should be settled by sports and not by war don't @ me
14,1338177152202620929,RT @PatrickWelter: Honored to win a @SuncoastEmmys for this story.  @marathonmarko has been through more than most could possibly imagine.…
15,1338177146540478470,"This....

And Jose bat flipped a few hours earlier! 

That was a great Toronto sports day! https://t.co/d6ZZtVBvgU"
16,1338177144380219394,"If it was completely obvious why did the conversation not say, “along with other sports, I do not think any athlete… https://t.co/TTvJAEmccZ"
