,ID,tweet
0,1333891307366969348,RT @PinAndTonicHQ: Frogly sweaters ARE HERE!! I've just posted an update with FAQ on Instagram (more characters on there) so please check t…
1,1333891303768264704,RT @deadeyebrakeman: my Instagram targeted ads have gotten really weird https://t.co/bJPffGyQ9R
2,1333891303604621312,Dogs are just like children. All they really want for Christmas is a cardboard box. #dogsofinstagram… https://t.co/BwNV52yXSz
3,1333891303587930116,@vuyopnphiri Don't worry its not your fault it's the Instagram stories 😭
4,1333891303575314433,Just posted a photo https://t.co/tfYbmwg8s0
5,1333891303428419584,"RT @charts_k: If you can, please leave a nice comment for Docskim

https://t.co/DtxlknQECS https://t.co/FLYEISUM7d"
6,1333891303134932993,Just posted a photo @ Kicklahoma West OKC Sneaker &amp; Apparel Boutique https://t.co/IGIJXNzqAk
7,1333891301658529794,"RT @charts_k: If you can, please leave a nice comment for Docskim

https://t.co/DtxlknQECS https://t.co/FLYEISUM7d"
8,1333891300001603585,@savluvsyou98 Are you interested to grow your onlyfans subscriber than dm us we have amazing opportunity for you 💌… https://t.co/YqQvt8gL32
9,1333891298244300803,RT @yourbiebernews: Justin via instagram stories https://t.co/j0GJH0uZDC
10,1333891298219220993,Just posted a photo https://t.co/BfNDhRG7bs
11,1333891298076422145,Just posted a photo https://t.co/dGrmxWscrc
12,1333891297409605632,RT @sunflowrdog: just a personal opinion but u should definitely follow my instagram for clay wips and bts! 🌈🌿🌞✨ https://t.co/axWSfGVGHA
13,1333891297082552323,Just posted a photo @ Joy Juice https://t.co/h4RHIhMg7K
14,1333891296856043524,Just posted a video https://t.co/sJhE0L7Bi6
15,1333891294913990658,now instagram is netflix too
16,1333891294456901632,RT @demilovatobr: Demi Lovato via Instagram 🤍 https://t.co/XSaibAGXr5
17,1333891294175899649,it’s funny to me when a guy follows me on insta and an hour later his gf adds me on Facebook &amp; Instagram😂like girll… https://t.co/I0lij1yehQ
18,1333891291361447939,RT @fkabudu: Instagram and Twitter are different worlds. The difference in the reactions to issues is hilarious
